Country.Code;Country;ISO;Region.Code;Region
251;Zambia;ZMB;SSAF;Sub-Saharan Africa
255;Belgium;BEL;WEUR;Western Europe
256;Luxembourg;LUX;WEUR;Western Europe
258;Anguilla;AIA;LAM;Latin America
260;Svalbard and Jan Mayen Islands;SJM;WEUR;Western Europe
270;Mayotte;MYT;SSAF;Sub-Saharan Africa
271;South Georgia and the South Sandwich Islands;SGS;LAM;Latin America
272;Serbia;SRB;EEUR;Eastern and South-Eastern Europe
273;Montenegro;MNE;EEUR;Eastern and South-Eastern Europe
276;Sudan;SDN;SSAF;Sub-Saharan Africa
277;South Sudan;SSD;SSAF;Sub-Saharan Africa
279;Curaçao;CUW;LAM;Latin America
281;Saint-Martin (French Part);MAF;LAM;Latin America
299;Occupied Palestinian Territory;PSE;NAFRI;Northern Africa and Western Asia
351;China;CHN;EASIA;Eastern Asia
