Var1;Var2;value;year;region;type
OtherUses;lvst;944622.840097441;1992;CN;mass
Food;crop;5280065.48682608;1992;CN;price
OtherUses;crop;847651.560752714;1992;CN;price
Food;lvst;233220.133771615;1992;CN;price
OtherUses;lvst;981090.978416026;1992;CN;price
Food;crop;14404379.6635307;1993;EU;mass
OtherUses;crop;3644462.14971804;1993;EU;mass
Food;lvst;22853601.8796538;1993;EU;mass
OtherUses;lvst;4546601.05006453;1993;EU;mass
Food;crop;15364690.2048488;1993;EU;price
OtherUses;crop;4797239.93209484;1993;EU;price
Food;lvst;18181642.0655;1993;EU;price
OtherUses;lvst;3151934.88803695;1993;EU;price
Food;crop;7617538.35100301;1993;US;mass
OtherUses;crop;2566349.94339451;1993;US;mass
Food;lvst;9994629.41532238;1993;US;mass
OtherUses;lvst;669757.263051717;1993;US;mass
Food;crop;7815645.90154275;1993;US;price
OtherUses;crop;3059586.95444786;1993;US;price
Food;lvst;11035553.0699887;1993;US;price
OtherUses;lvst;433664.765798722;1993;US;price
Food;crop;3798054.92741717;1993;CN;mass
OtherUses;crop;316518.940140585;1993;CN;mass
Food;lvst;508675.26398426;1993;CN;mass
OtherUses;lvst;714303.575070388;1993;CN;mass
Food;crop;3849923.34780677;1993;CN;price
OtherUses;crop;343267.752005196;1993;CN;price
Food;lvst;289524.873346977;1993;CN;price
OtherUses;lvst;795241.08287594;1993;CN;price
Food;crop;22485966.7755507;1994;EU;mass
OtherUses;crop;4810119.36020125;1994;EU;mass
Food;lvst;24113481.2552364;1994;EU;mass
OtherUses;lvst;6267679.09140638;1994;EU;mass
Food;crop;23960378.9347093;1994;EU;price
OtherUses;crop;6252951.83987251;1994;EU;price
Food;lvst;18069978.6764107;1994;EU;price
OtherUses;lvst;4696542.10766688;1994;EU;price
Food;crop;8714908.65578928;1994;US;mass
OtherUses;crop;2387337.9482549;1994;US;mass
Food;lvst;10296648.4856548;1994;US;mass
OtherUses;lvst;709072.458677457;1994;US;mass
Food;crop;8958557.68864537;1994;US;price
OtherUses;crop;2851012.94424768;1994;US;price
Food;lvst;10916990.2096681;1994;US;price
OtherUses;lvst;451854.718123727;1994;US;price
Food;crop;6514355.14880382;1994;CN;mass
OtherUses;crop;837473.130726231;1994;CN;mass
Food;lvst;914071.778242145;1994;CN;mass
OtherUses;lvst;2488527.93313065;1994;CN;mass
Food;crop;6992117.91882696;1994;CN;price
OtherUses;crop;1304953.27257896;1994;CN;price
Food;lvst;560163.333799311;1994;CN;price
OtherUses;lvst;1816771.96994728;1994;CN;price
Food;crop;16839654.5626812;1995;EU;mass
OtherUses;crop;4140865.19956997;1995;EU;mass
Food;lvst;25409383.5595926;1995;EU;mass
OtherUses;lvst;6342667.23602881;1995;EU;mass
Food;crop;18442799.7888993;1995;EU;price
OtherUses;crop;5712107.81049114;1995;EU;price
Food;lvst;19374863.3853152;1995;EU;price
OtherUses;lvst;4835955.75191274;1995;EU;price
Food;crop;7414042.70068982;1995;US;mass
