Var1;Var2;value;year;region;type
OtherUses;crop;14563560.6167752;1995;CN;price
Food;lvst;32247277.1601987;1995;CN;price
OtherUses;lvst;5190430.00032649;1995;CN;price
Food;crop;49823703.0360789;1996;EU;mass
OtherUses;crop;8311040.44527998;1996;EU;mass
Food;lvst;84056262.44251;1996;EU;mass
OtherUses;lvst;11909168.4153048;1996;EU;mass
Food;crop;53140899.2199022;1996;EU;price
OtherUses;crop;10279289.499089;1996;EU;price
Food;lvst;78248982.7230662;1996;EU;price
OtherUses;lvst;9131507.37801841;1996;EU;price
Food;crop;29742727.9745242;1996;US;mass
OtherUses;crop;7080204.20266943;1996;US;mass
Food;lvst;66881136.8053352;1996;US;mass
OtherUses;lvst;5239322.83776398;1996;US;mass
Food;crop;31938004.8056957;1996;US;price
OtherUses;crop;9085957.75036204;1996;US;price
Food;lvst;69674533.596554;1996;US;price
OtherUses;lvst;1960341.15666114;1996;US;price
Food;crop;96416809.4981476;1996;CN;mass
OtherUses;crop;12715948.5333587;1996;CN;mass
Food;lvst;40351131.4846789;1996;CN;mass
OtherUses;lvst;5271810.39007361;1996;CN;mass
Food;crop;99023251.4208209;1996;CN;price
OtherUses;crop;16258850.6533379;1996;CN;price
Food;lvst;36393278.131737;1996;CN;price
OtherUses;lvst;3328471.41902892;1996;CN;price
Food;crop;49881050.0453721;1997;EU;mass
OtherUses;crop;8170627.55751283;1997;EU;mass
Food;lvst;80799591.2006969;1997;EU;mass
OtherUses;lvst;11179330.357387;1997;EU;mass
Food;crop;52741709.6635398;1997;EU;price
OtherUses;crop;10081046.3045933;1997;EU;price
Food;lvst;75964096.0747904;1997;EU;price
OtherUses;lvst;9090920.65632628;1997;EU;price
Food;crop;28612419.9094787;1997;US;mass
OtherUses;crop;7463627.27293968;1997;US;mass
Food;lvst;62944780.3684569;1997;US;mass
OtherUses;lvst;5232012.26556019;1997;US;mass
Food;crop;30791937.1790432;1997;US;price
OtherUses;crop;9500628.37910222;1997;US;price
Food;lvst;64635982.8758594;1997;US;price
OtherUses;lvst;2172848.84438202;1997;US;price
Food;crop;95257937.5526657;1997;CN;mass
OtherUses;crop;11569292.2686179;1997;CN;mass
Food;lvst;43492405.5717657;1997;CN;mass
OtherUses;lvst;5401415.62056895;1997;CN;mass
Food;crop;97502334.1988148;1997;CN;price
OtherUses;crop;14626819.6908879;1997;CN;price
Food;lvst;40148624.7055575;1997;CN;price
OtherUses;lvst;3564582.93021318;1997;CN;price
Food;crop;49092427.1300699;1998;EU;mass
OtherUses;crop;8923862.5491115;1998;EU;mass
Food;lvst;83591544.3980489;1998;EU;mass
OtherUses;lvst;11841730.7040625;1998;EU;mass
Food;crop;52348649.4860812;1998;EU;price
OtherUses;crop;11048833.1978769;1998;EU;price
Food;lvst;77709231.546731;1998;EU;price
OtherUses;lvst;8835478.21413001;1998;EU;price
Food;crop;28063708.3447234;1998;US;mass
OtherUses;crop;7295418.83676571;1998;US;mass
Food;lvst;66031794.9432428;1998;US;mass
OtherUses;lvst;5450701.91223122;1998;US;mass
Food;crop;30825524.1141558;1998;US;price
OtherUses;crop;9164498.85884202;1998;US;price
Food;lvst;66868807.654706;1998;US;price
OtherUses;lvst;2472583.71011221;1998;US;price
Food;crop;98091678.5297066;1998;CN;mass
OtherUses;crop;10214474.8426075;1998;CN;mass
Food;lvst;42283711.812798;1998;CN;mass
OtherUses;lvst;5560180.40958148;1998;CN;mass
Food;crop;100645861.705281;1998;CN;price
OtherUses;crop;12914961.5157167;1998;CN;price
Food;lvst;38656176.8828729;1998;CN;price
OtherUses;lvst;3231360.66418171;1998;CN;price
